Bill,Perk,MasterCard-Perk,MasterCard-Tesco,Amex-Tesco,Amex-Perk,Optimal
1,0.96,0.96,1.0,0.99,0.96,Perk
2,1.92,1.92,1.97,1.98,1.91,Amex-Perk
3,2.88,2.88,2.94,2.97,2.86,Amex-Perk
4,3.84,3.84,3.91,3.96,3.81,Amex-Perk
5,4.8,4.8,4.88,4.95,4.76,Amex-Perk
6,5.76,5.76,5.88,5.94,5.71,Amex-Perk
7,6.72,6.72,6.85,6.93,6.66,Amex-Perk
8,7.68,7.68,7.82,7.92,7.609999999999999,Amex-Perk
9,8.64,8.610000000000001,8.79,8.91,8.56,Amex-Perk
10,9.6,9.57,9.76,9.9,9.51,Amex-Perk
11,10.559999999999999,10.53,10.76,10.89,10.459999999999999,Amex-Perk
12,11.52,11.49,11.73,11.88,11.41,Amex-Perk
13,12.48,12.450000000000001,12.7,12.87,12.360000000000001,Amex-Perk
14,13.44,13.41,13.67,13.86,13.309999999999999,Amex-Perk
15,14.399999999999999,14.37,14.64,14.85,14.259999999999998,Amex-Perk
16,15.36,15.33,15.64,15.84,15.209999999999999,Amex-Perk
17,16.32,16.26,16.61,16.83,16.16,Amex-Perk
18,17.28,17.220000000000002,17.58,17.82,17.11,Amex-Perk
19,18.24,18.18,18.55,18.81,18.06,Amex-Perk
20,19.2,19.14,19.52,19.8,19.009999999999998,Amex-Perk
21,20.16,20.1,20.52,20.79,19.96,Amex-Perk
22,21.119999999999997,21.06,21.49,21.78,20.909999999999997,Amex-Perk
23,22.08,22.02,22.46,22.77,21.86,Amex-Perk
24,23.04,22.98,23.43,23.76,22.81,Amex-Perk
25,24.0,23.91,24.4,24.75,23.76,Amex-Perk
26,24.96,24.87,25.4,25.74,24.720000000000002,Amex-Perk
27,25.919999999999998,25.83,26.37,26.73,25.669999999999998,Amex-Perk
28,26.88,26.79,27.34,27.72,26.619999999999997,Amex-Perk
29,27.84,27.75,28.31,28.71,27.57,Amex-Perk
30,28.799999999999997,28.709999999999997,29.28,29.7,28.519999999999996,Amex-Perk
31,29.759999999999998,29.669999999999998,30.28,30.69,29.47,Amex-Perk
32,30.72,30.63,31.25,31.68,30.419999999999998,Amex-Perk
33,31.68,31.59,32.22,32.67,31.37,Amex-Perk
34,32.64,32.52,33.19,33.66,32.32,Amex-Perk
35,33.6,33.480000000000004,34.16,34.65,33.27,Amex-Perk
36,34.56,34.440000000000005,35.16,35.64,34.22,Amex-Perk
37,35.519999999999996,35.4,36.13,36.63,35.169999999999995,Amex-Perk
38,36.48,36.36,37.1,37.62,36.12,Amex-Perk
39,37.44,37.32,38.07,38.61,37.07,Amex-Perk
40,38.4,38.28,39.04,39.6,38.019999999999996,Amex-Perk
41,39.36,39.24,40.04,40.59,38.97,Amex-Perk
42,40.32,40.17,41.01,41.58,39.92,Amex-Perk
43,41.28,41.13,41.98,42.57,40.870000000000005,Amex-Perk
44,42.239999999999995,42.089999999999996,42.95,43.56,41.81999999999999,Amex-Perk
45,43.199999999999996,43.05,43.92,44.55,42.769999999999996,Amex-Perk
46,44.16,44.01,44.92,45.54,43.72,Amex-Perk
47,45.12,44.97,45.89,46.53,44.669999999999995,Amex-Perk
48,46.08,45.93,46.86,47.52,45.62,Amex-Perk
49,47.04,46.89,47.83,48.51,46.57,Amex-Perk
50,48.0,47.82,48.8,49.5,47.52,Amex-Perk
51,48.96,48.78,49.8,50.49,48.480000000000004,Amex-Perk
52,49.92,49.74,50.77,51.48,49.43,Amex-Perk
53,50.879999999999995,50.699999999999996,51.74,52.47,50.379999999999995,Amex-Perk
54,51.839999999999996,51.66,52.71,53.46,51.33,Amex-Perk
55,52.8,52.62,53.68,54.45,52.279999999999994,Amex-Perk
56,53.76,53.58,54.68,55.44,53.23,Amex-Perk
57,54.72,54.54,55.65,56.43,54.18,Amex-Perk
58,55.68,55.5,56.62,57.42,55.13,Amex-Perk
59,56.64,56.43,57.59,58.41,56.08,Amex-Perk
60,57.599999999999994,57.38999999999999,58.56,59.4,57.029999999999994,Amex-Perk
61,58.559999999999995,58.349999999999994,59.56,60.39,57.98,Amex-Perk
62,59.519999999999996,59.309999999999995,60.53,61.38,58.92999999999999,Amex-Perk
63,60.48,60.269999999999996,61.5,62.37,59.879999999999995,Amex-Perk
64,61.44,61.23,62.47,63.36,60.83,Amex-Perk
65,62.4,62.19,63.44,64.35,61.78,Amex-Perk
66,63.36,63.15,64.44,65.34,62.73,Amex-Perk
67,64.32,64.08,65.41,66.33,63.67999999999999,Amex-Perk
68,65.28,65.04,66.38,67.32,64.63,Amex-Perk
69,66.24,66.0,67.35,68.31,65.58,Amex-Perk
70,67.2,66.96000000000001,68.32,69.3,66.53,Amex-Perk
71,68.16,67.92,69.32,70.29,67.47999999999999,Amex-Perk
72,69.12,68.88000000000001,70.29,71.28,68.43,Amex-Perk
73,70.08,69.84,71.26,72.27,69.38,Amex-Perk
74,71.03999999999999,70.8,72.23,73.26,70.33,Amex-Perk
75,72.0,71.73,73.2,74.25,71.28,Amex-Perk
76,72.96,72.69,74.2,75.24,72.24,Amex-Perk
77,73.92,73.65,75.17,76.23,73.19,Amex-Perk
